tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1437,06:20.6,30:18.0,3678,Fairmount Ave,40.72572614,-74.07195926,3678,Fairmount Ave,40.72572614,-74.07195926,42314,Customer,2002,2
264,02:42.1,07:06.1,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.7308971,-74.06391263,42146,Subscriber,1963,2
254,20:28.1,24:42.1,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42255,Subscriber,1981,1
429,33:30.5,40:40.2,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,42529,Subscriber,1964,1
805,38:32.9,51:58.2,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.7308971,-74.06391263,42362,Subscriber,1965,1
317,43:44.5,49:01.8,3211,Newark Ave,40.72152515,-74.04630454,3205,JC Medical Center,40.71653978,-74.04963791,42636,Subscriber,1956,1
238,43:52.2,47:51.0,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42336,Subscriber,1967,1
360,51:07.8,57:08.3,3207,Oakland Ave,40.7376037,-74.0524783,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42531,Subscriber,1982,1
79,00:01.7,01:21.4,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,27808,Subscriber,1993,1
523,00:59.1,09:42.3,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.0337589,42499,Subscriber,1973,1
2118,03:01.3,38:19.6,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42107,Subscriber,1959,1
283,08:35.4,13:19.0,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,40910,Subscriber,1970,2
250,17:10.9,21:21.8,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,42398,Subscriber,1964,1
415,20:26.4,27:21.7,3278,Monmouth and 6th,40.72568548,-74.04879034,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42276,Subscriber,1979,1
781,30:37.2,43:38.4,3195,Sip Ave,40.7308971,-74.06391263,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42255,Subscriber,1988,1
306,38:45.4,43:51.5,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42529,Subscriber,1991,2
613,58:29.6,08:43.3,3210,Pershing Field,40.74267714,-74.05178863,3279,Dixon Mills,40.72163014,-74.04996783,42600,Customer,1981,1
388,30:33.7,37:02.2,3639,Harborside,40.7192517,-74.034234,3279,Dixon Mills,40.72163014,-74.04996783,42583,Subscriber,1969,1
228,34:01.5,37:50.3,3185,City Hall,40.7177325,-74.043845,3483,Montgomery St,40.71942,-74.05099,42377,Customer,1969,0
1207,39:16.8,59:24.3,3677,Glenwood Ave,40.72755147,-74.07106072,3199,Newport Pkwy,40.7287448,-74.0321082,42497,Subscriber,1959,1
644,39:47.3,50:31.9,3206,Hilltop,40.7311689,-74.0575736,3205,JC Medical Center,40.71653978,-74.04963791,42223,Subscriber,1977,2
755,47:30.9,00:06.0,3195,Sip Ave,40.7308971,-74.06391263,3195,Sip Ave,40.7308971,-74.06391263,42411,Subscriber,1969,1
1558,54:53.5,20:51.6,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,42538,Subscriber,1987,1
472,03:48.1,11:40.4,3203,Hamilton Park,40.72759597,-74.04424731,3184,Paulus Hook,40.7141454,-74.0335519,42221,Subscriber,1983,1
691,04:32.7,16:04.5,3212,Christ Hospital,40.73478582,-74.05044364,3185,City Hall,40.7177325,-74.043845,42237,Subscriber,1984,1
582,11:15.8,20:57.9,3694,Jackson Square,40.71113,-74.0789,3191,Union St,40.7182113,-74.0836394,42145,Subscriber,1994,1
515,12:16.9,20:52.0,3276,Marin Light Rail,40.71458404,-74.04281706,3203,Hamilton Park,40.72759597,-74.04424731,42520,Customer,1990,1
174,25:48.9,28:43.4,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,42590,Subscriber,1988,1
299,28:21.9,33:21.7,3639,Harborside,40.7192517,-74.034234,3267,Morris Canal,40.71241882,-74.03852552,42495,Subscriber,1962,2
153,29:46.9,32:20.8,3276,Marin Light Rail,40.71458404,-74.04281706,3214,Essex Light Rail,40.7127742,-74.0364857,42115,Subscriber,1981,1
631,39:12.3,49:43.9,3213,Van Vorst Park,40.71848892,-74.04772663,3187,Warren St,40.7211236,-74.03805095,42373,Subscriber,1968,1
2281,39:58.0,17:59.6,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42473,Subscriber,1971,2
3164,02:04.7,54:49.4,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,42292,Subscriber,1977,1
171,04:15.0,07:06.3,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,42229,Subscriber,1960,1
240,06:29.6,10:30.3,3681,Grand St,40.71517768,-74.03768331,3186,Grove St PATH,40.71958612,-74.04311746,42367,Subscriber,1987,1
392,09:31.2,16:03.3,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,42114,Subscriber,1976,1
4737,47:21.9,06:19.4,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42442,Subscriber,1953,2
4724,47:37.1,06:21.3,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42237,Subscriber,1956,1
1271,55:56.0,17:07.0,3481,York St,40.71649,-74.04105,3192,Liberty Light Rail,40.7112423,-74.0557013,42301,Customer,1969,0
224,59:31.5,03:16.3,3185,City Hall,40.7177325,-74.043845,3639,Harborside,40.7192517,-74.034234,42586,Subscriber,1985,1
1643,01:10.7,28:33.9,3678,Fairmount Ave,40.72572614,-74.07195926,3267,Morris Canal,40.71241882,-74.03852552,34038,Subscriber,1970,1
424,07:07.3,14:11.5,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42543,Subscriber,1999,1
804,07:11.6,20:36.3,3191,Union St,40.7182113,-74.0836394,3195,Sip Ave,40.7308971,-74.06391263,42145,Subscriber,1977,1
1004,07:24.8,24:09.2,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,42131,Subscriber,1995,2
1528,12:50.9,38:19.9,3199,Newport Pkwy,40.7287448,-74.0321082,3677,Glenwood Ave,40.72755147,-74.07106072,42497,Subscriber,1959,1
412,17:02.3,23:54.4,3186,Grove St PATH,40.71958612,-74.04311746,3681,Grand St,40.71517768,-74.03768331,42367,Subscriber,1987,1
1353,20:05.0,42:38.5,3192,Liberty Light Rail,40.7112423,-74.0557013,3481,York St,40.71649,-74.04105,42301,Customer,1969,0
737,30:20.7,42:38.5,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3192,Liberty Light Rail,40.7112423,-74.0557013,42255,Subscriber,1989,1
2872,30:42.9,18:35.2,3195,Sip Ave,40.7308971,-74.06391263,3195,Sip Ave,40.7308971,-74.06391263,42159,Subscriber,1987,1
1349,37:18.3,59:48.2,3677,Glenwood Ave,40.72755147,-74.07106072,3199,Newport Pkwy,40.7287448,-74.0321082,42527,Customer,1987,2
742,41:38.9,54:01.6,3678,Fairmount Ave,40.72572614,-74.07195926,3276,Marin Light Rail,40.71458404,-74.04281706,42205,Customer,1969,0
1795,44:09.9,14:05.1,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42209,Subscriber,1994,1
352,48:22.8,54:15.5,3639,Harborside,40.7192517,-74.034234,3267,Morris Canal,40.71241882,-74.03852552,42274,Subscriber,1984,1
1311,51:58.5,13:49.9,3203,Hamilton Park,40.72759597,-74.04424731,3678,Fairmount Ave,40.72572614,-74.07195926,42109,Subscriber,1994,2
743,58:26.4,10:49.9,3481,York St,40.71649,-74.04105,3275,Columbus Drive,40.7183552,-74.03891444,42117,Subscriber,1986,1
3922,07:26.2,12:48.6,3268,Lafayette Park,40.71346383,-74.06285852,3198,Heights Elevator,40.74871595,-74.0404433,42246,Subscriber,1971,2
775,14:07.9,27:03.1,3269,Brunswick & 6th,40.72601173,-74.05038893,3184,Paulus Hook,40.7141454,-74.0335519,42331,Subscriber,1977,2
4607,19:52.7,36:40.4,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,42349,Subscriber,1987,2
237,20:38.7,24:36.4,3185,City Hall,40.7177325,-74.043845,3272,Jersey & 3rd,40.72333159,-74.04595256,42224,Subscriber,1985,1
304,29:19.7,34:23.9,3639,Harborside,40.7192517,-74.034234,3211,Newark Ave,40.72152515,-74.04630454,42213,Subscriber,1986,1
1767,35:43.5,05:10.5,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42155,Subscriber,1978,1
696,39:03.7,50:40.2,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,42299,Subscriber,1988,1
